1,PACE250COM100,Acetazolamida 250 mg. x 100 comprimidos,si,acetazolamida-250-mg-x-100-comprimidos
2,PACE600GRA_20,Acetilcisteina 600 mg. polvo para solucion oral x 20 sobres,si,acetilcisteina-600-mg-polvo-para-solucion-oral-x-20-sobres
3,PACI400COM_50,Aciclovir 400 mg. x 50 comprimidos,si,aciclovir-400-mg-x-50-comprimidos
5,PACI800COM_50,Aciclovir 800 mg. x 50 comprimidos,si,aciclovir-800-mg-x-50-comprimidos
6,PACI__5SEM__5,Aciclovir 5 % Crema x 1 tubo x 5 g.,si,aciclovir-5-porciento-crema-x-1-tubo-x-5-g
7,PALC120,Alcohol Medicinal frasco x 120 ml,si,alcohol-medicinal-frasco-x-120-ml
8,PALC450,Alcohol Medicinal frasco x 450 ml,si,alcohol-medicinal-frasco-x-450-ml
9,PALC950,Alcohol Medicinal frasco x 950 ml,si,alcohol-medicinal-frasco-x-950-ml
10,PALC_60,Alcohol Medicinal frasco x 60 ml,si,alcohol-medicinal-frasco-x-60-ml
11,PAMB_15JAR100,Ambroxol 15 mg. / 5 ml. Jarabe x 1 Fco. x 100 ml.,si,ambroxol-15-mg--5-ml-jarabe-x-1-fco-x-100-ml
12,PAMB_30JAR100,Ambroxol 30 mg. / 5 ml. Jarabe x 1 Fco. x 100 ml.,si,ambroxol-30-mg--5-ml-jarabe-x-1-fco-x-100-ml
13,PAMO000COM200,Amoximil 1000 mg. x 200 comprimidos,si,amoximil-1000-mg-x-200-comprimidos
14,PAMO125SUS_60,Amoxicilina 125 mg. / 5 ml. Suspension x 1 Fco. x 60 ml.,si,amoxicilina-125-mg--5-ml-suspension-x-1-fco-x-60-ml
15,PAMO250100S100,Amoxicilina 250 mg. / 5 ml. Suspension x 1 Fco. x 100 ml.,si,amoxicilina-250-mg--5-ml-suspension-x-1-fco-x-100-ml
16,PAMO500CAP500,Amoxicilina 500 mg. x 500 cápsulas,si,amoxicilina-500-mg-x-500-cpsulas
17,PAMO500COM500,Amoxicilina 500 mg. x 500 comprimidos,si,amoxicilina-500-mg-x-500-comprimidos
18,PAMO500SUS100,Amoxicilina 500 mg. / 5 ml. Suspension x 1 Fco. x 100 ml.,si,amoxicilina-500-mg--5-ml-suspension-x-1-fco-x-100-ml
19,PAMP000COM200,Ampimil 1000 mg. x 200 comprimidos,si,ampimil-1000-mg-x-200-comprimidos
20,PAMP500CAP500,Ampicilina 500 mg. x 500 cápsulas,si,ampicilina-500-mg-x-500-cpsulas
21,PAZI200SUS_60,Azitromicina 200 mg. / 5 ml. Suspension x 1 Fco. x 15 ml.,si,azitromicina-200-mg--5-ml-suspension-x-1-fco-x-15-ml
22,PAZI500COM_10,Azitromicina 500 mg. x 10 comprimidos,si,azitromicina-500-mg-x-10-comprimidos
23,PBIC_20GRA_20,Bicarbonato de Sodio 20 g. x 20 sobres,si,bicarbonato-de-sodio-20-g-x-20-sobres
24,PBRO__8COM100,Bromhexina 8 mg. x 100 comprimidos,si,bromhexina-8-mg-x-100-comprimidos
25,PCAL500COM100,Calcio 500 mg. x 100 comprimidos,si,calcio-500-mg-x-100-comprimidos
26,PCALD500COM_30,Calcio 500mg + Vitamina D x 30 comprimidos,si,calcio-500mg--vitamina-d-x-30-comprimidos
28,PCAR200COM_50,Carbamazepina 200 mg. x 50 comprimidos,si,carbamazepina-200-mg-x-50-comprimidos
29,PCET_10COM_50,Cetirizina 10 mg. x 50 comprimidos,si,cetirizina-10-mg-x-50-comprimidos
30,PCIP500COM100,Ciprofloxacina 500 mg. x 100 comprimidos,si,ciprofloxacina-500-mg-x-100-comprimidos
